role,skills
Data Scientist,"Python,SQL,MachineLearning,DataAnalysis,Statistics,Git,PyTorch,TensorFlow,Pandas,NumPy"
DevOps Engineer,"AWS,Docker,Kubernetes,Linux,CI/CD,Terraform,Git"
Backend Developer,"Java,Python,SQL,FastAPI,REST API,MongoDB,Git"
Frontend Developer,"HTML,CSS,JavaScript,React,Git"
Cloud Engineer,"AWS,Cloud,Automation,Linux,Terraform,Azure,CI/CD"
Machine Learning Engineer,"Python,TensorFlow,PyTorch,Statistics,MachineLearning,Docker,Git"
Data Analyst,"Python,SQL,Excel,PowerBI,Analytics,Git"
AI Engineer,"Python,NLP,MachineLearning,DeepLearning,TensorFlow,PyTorch,LLM,FastAPI,Git"
Software Engineer,"Java,Git,OOP,DSA,Linux,REST API"
System Administrator,"Linux,Cloud,Automation,Docker,Git"
Database Engineer,"SQL,MySQL,Optimization,MongoDB,Git"
Full Stack Developer,"React,Python,SQL,FastAPI,REST API,MongoDB,Git"
Cyber Security Analyst,"Python,Linux,Networking,Security,Git"
Cloud Architect,"AWS,Azure,Terraform,Kubernetes,Cloud"
Data Engineer,"Python,SQL,Spark,ETL,MongoDB,Git"
Mobile App Developer,"Java,Kotlin,Android,REST API"
MLOps Engineer,"Python,Docker,MachineLearning,Kubernetes,CI/CD,Terraform,Git"
AI Research Engineer,"Python,DeepLearning,NLP,PyTorch,TensorFlow,Statistics"
Business Analyst,"SQL,Excel,PowerBI,Analytics"
Software Tester,"Testing,Selenium,Python,QA,Git"
Blockchain Developer,"Python,Solidity,REST API"
Computer Vision Engineer,"Python,OpenCV,DeepLearning,PyTorch,TensorFlow,Git"
Prompt Engineer,"Python,NLP,LLM,AI,FastAPI,Git"
UI UX Designer,"Figma,Design,Wireframing"
Embedded Systems Engineer,"C,C++,IoT,Linux"
Big Data Engineer,"Hadoop,Spark,Python,SQL,Git"
